Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
525	17.5	0.0	0.0	0.0	0.0
526	17.533	0.0	0.0	0.0	0.0
527	17.567	0.0	0.0	0.0	0.0
528	17.6	0.0	0.0	0.0	0.0
529	17.633	106.89	85.22	30.26	128.41
530	17.667	107.35	82.93	19.99	125.82
531	17.7	104.2	73.2	19.11	123.45
532	17.733	0.0	0.0	0.0	0.0
533	17.767	0.0	0.0	0.0	0.0
534	17.8	105.67	54.67	13.67	125.81
535	17.833	106.34	45.25	19.09	126.88
536	17.867	103.62	41.54	15.27	122.79
537	17.9	102.65	45.93	12.09	121.94
538	17.933	103.17	38.67	16.62	122.8
