Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
224	7.467	78.33	136.92	126.85	146.48
225	7.5	76.59	138.58	125.69	145.54
226	7.533	76.63	136.62	126.48	145.54
227	7.567	74.01	134.43	125.19	144.5
228	7.6	68.82	128.94	122.89	140.72
229	7.633	72.34	130.12	125.67	142.77
230	7.667	75.14	135.58	127.68	143.46
231	7.7	76.49	133.45	128.13	145.04
232	7.733	75.71	129.61	129.23	144.56
233	7.767	76.69	124.77	129.33	146.38
234	7.8	74.4	127.39	128.59	146.65
235	7.833	73.43	127.3	129.98	143.87
236	7.867	75.32	125.73	131.45	145.31
237	7.9	77.08	124.63	133.23	144.71
238	7.933	79.02	113.76	118.88	142.29
239	7.967	82.3	118.82	121.94	144.17
240	8.0	86.21	118.97	120.33	145.89
241	8.033	87.65	118.31	120.99	146.08
242	8.067	87.86	120.9	121.51	146.05
243	8.1	88.34	121.29	121.16	146.0
244	8.133	88.02	120.1	121.22	145.96
245	8.167	87.18	118.4	120.16	144.96
246	8.2	86.55	116.4	119.49	144.17
247	8.233	87.27	114.01	119.82	144.19
248	8.267	88.41	116.77	120.48	144.61
249	8.3	89.87	116.63	120.69	145.51
250	8.333	90.8	116.68	121.17	146.75
251	8.367	92.09	116.79	122.1	147.18
252	8.4	93.1	117.42	123.3	146.82
253	8.433	93.23	117.2	124.05	147.26
254	8.467	93.83	116.38	125.15	146.59
255	8.5	93.74	114.52	124.96	145.82
256	8.533	94.21	116.42	125.67	147.03
257	8.567	94.27	117.13	125.76	145.98
258	8.6	94.33	117.99	125.48	144.92
259	8.633	94.35	116.16	124.65	145.7
260	8.667	94.18	115.66	125.2	145.17
261	8.7	93.93	118.47	126.05	144.99
262	8.733	94.03	116.97	126.9	143.38
263	8.767	93.87	118.17	126.81	143.22
264	8.8	93.83	114.67	126.18	142.46
265	8.833	93.43	114.66	125.57	141.92
266	8.867	94.53	114.41	125.32	141.54
267	8.9	96.22	115.37	125.44	141.0
268	8.933	96.87	116.19	126.3	140.65
269	8.967	98.11	114.35	126.37	140.99
270	9.0	98.71	113.26	126.42	141.54
271	9.033	98.8	112.74	125.5	141.68
272	9.067	99.46	114.82	125.93	142.3
273	9.1	100.3	115.18	125.13	143.63
274	9.133	100.2	114.46	125.68	143.2
275	9.167	99.96	113.84	125.65	142.66
276	9.2	99.34	113.54	126.37	141.43
277	9.233	99.49	112.19	126.53	142.07
278	9.267	99.19	111.53	125.03	141.3
279	9.3	98.96	110.57	125.38	139.97
280	9.333	98.83	110.8	125.64	139.14
281	9.367	101.34	113.87	124.25	146.34
282	9.4	100.54	114.27	124.62	145.55
283	9.433	100.34	115.4	124.27	145.48
284	9.467	101.23	117.07	124.11	146.28
285	9.5	101.3	116.9	122.94	145.7
286	9.533	101.15	116.13	122.43	145.29
287	9.567	101.26	117.6	122.54	145.1
288	9.6	101.41	118.62	122.85	146.2
289	9.633	101.43	117.96	122.51	145.84
290	9.667	101.34	117.52	123.11	145.87
291	9.7	101.09	116.95	122.23	145.63
292	9.733	101.35	115.87	122.42	146.83
293	9.767	101.67	117.52	123.05	146.78
294	9.8	101.9	116.51	123.41	146.8
295	9.833	102.32	119.29	123.8	146.99
296	9.867	102.95	122.69	124.22	147.11
297	9.9	104.16	122.39	124.07	148.55
298	9.933	104.47	123.21	124.3	147.82
299	9.967	105.55	123.87	124.09	148.59
300	10.0	105.48	122.93	123.24	148.76
301	10.033	104.69	127.29	122.1	150.73
302	10.067	103.55	125.11	122.85	150.1
303	10.1	103.88	123.59	124.46	150.72
304	10.133	103.82	124.17	125.27	151.59
305	10.167	102.03	124.97	126.68	151.47
306	10.2	100.5	123.71	124.74	151.21
307	10.233	98.98	124.26	127.22	150.0
308	10.267	98.81	127.37	127.81	149.78
309	10.3	99.02	125.42	127.37	150.1
310	10.333	98.31	127.49	128.81	149.34
311	10.367	98.31	126.57	126.6	149.33
312	10.4	99.69	125.63	125.6	149.16
313	10.433	100.36	126.8	125.43	149.08
314	10.467	95.61	140.76	132.86	138.65
315	10.5	101.84	130.49	124.88	147.64
316	10.533	100.35	139.46	127.39	142.28
317	10.567	100.36	139.76	128.22	141.34
318	10.6	100.6	138.69	128.96	142.75
319	10.633	100.72	138.1	129.8	143.66
320	10.667	104.42	130.28	127.06	150.41
321	10.7	101.84	130.8	130.59	148.15
322	10.733	101.52	130.62	130.87	146.54
323	10.767	101.8	130.25	130.43	147.9
324	10.8	101.44	129.89	130.54	147.65
325	10.833	101.44	128.09	129.83	148.38
326	10.867	95.49	135.29	136.79	138.71
327	10.9	96.24	137.44	136.6	138.66
328	10.933	103.3	124.62	124.3	150.68
329	10.967	97.46	138.37	134.42	138.22
330	11.0	98.02	138.73	135.93	138.38
331	11.033	98.14	137.43	134.93	137.96
332	11.067	99.0	137.94	135.97	138.37
333	11.1	101.56	131.67	127.31	143.26
334	11.133	101.55	131.9	126.58	142.77
335	11.167	101.37	131.43	126.06	142.55
336	11.2	101.12	132.04	126.48	142.2
337	11.233	101.37	132.92	126.31	141.51
338	11.267	101.12	134.07	127.22	141.65
339	11.3	99.18	138.97	135.75	135.84
340	11.333	98.93	138.2	136.67	137.27
341	11.367	99.22	137.5	135.98	137.25
342	11.4	99.65	139.82	136.77	136.98
343	11.433	99.71	138.97	136.71	136.78
344	11.467	99.67	137.75	136.03	136.97
345	11.5	100.01	138.06	134.41	137.07
346	11.533	100.79	141.87	134.67	134.06
347	11.567	101.51	142.39	133.52	133.19
348	11.6	103.27	142.92	132.47	130.4
349	11.633	104.61	143.03	133.94	129.51
350	11.667	104.13	139.9	132.12	128.61
351	11.7	105.05	138.9	129.96	128.35
352	11.733	104.3	139.53	128.68	128.28
353	11.767	104.5	136.01	128.53	128.93
354	11.8	103.77	132.71	128.79	128.6
355	11.833	101.69	132.79	130.13	127.67
356	11.867	99.53	126.07	121.64	131.95
357	11.9	98.29	128.07	121.29	132.0
358	11.933	96.35	132.28	131.68	129.75
359	11.967	95.29	130.35	130.9	131.68
360	12.0	93.13	130.32	129.36	132.08
361	12.033	90.1	129.17	128.91	131.12
362	12.067	82.49	102.83	117.0	124.32
363	12.1	81.36	103.26	116.22	123.82
364	12.133	81.89	105.31	116.74	124.21
365	12.167	82.66	104.56	116.25	125.02
366	12.2	83.79	102.44	117.09	126.49
367	12.233	89.91	127.87	130.16	132.37
368	12.267	87.65	104.66	118.59	125.9
369	12.3	92.39	127.0	130.61	130.49
370	12.333	93.03	128.98	132.12	130.05
371	12.367	94.29	128.9	131.81	129.11
372	12.4	96.32	129.55	130.42	129.13
373	12.433	97.66	129.17	129.81	129.02
374	12.467	99.2	130.17	129.26	129.27
375	12.5	100.54	129.75	127.82	127.94
376	12.533	102.18	129.4	127.98	127.31
377	12.567	102.69	129.97	126.74	125.95
378	12.6	102.74	128.25	125.56	125.97
379	12.633	103.01	128.49	126.49	125.85
380	12.667	103.36	130.78	127.44	124.56
381	12.7	102.92	130.87	126.88	123.78
382	12.733	103.03	132.31	127.88	122.9
383	12.767	103.07	132.57	127.62	124.01
384	12.8	102.61	133.58	126.37	124.01
385	12.833	102.2	133.7	124.66	123.23
386	12.867	102.24	135.08	123.75	122.26
387	12.9	102.25	134.84	123.55	123.49
388	12.933	102.4	135.33	124.46	124.51
389	12.967	102.8	136.78	124.36	124.23
390	13.0	103.16	136.45	123.81	125.97
391	13.033	103.14	135.2	121.39	128.4
392	13.067	102.34	135.21	122.02	128.55
393	13.1	102.37	134.9	122.92	128.85
394	13.133	101.9	135.1	124.17	127.25
395	13.167	101.77	133.33	123.82	127.55
396	13.2	102.02	135.09	124.23	128.08
397	13.233	102.62	136.76	123.56	127.66
398	13.267	102.52	134.81	122.67	128.41
399	13.3	102.75	133.69	123.21	129.06
400	13.333	103.0	133.63	124.23	128.33
401	13.367	103.15	134.19	123.15	126.57
402	13.4	103.56	134.68	123.96	127.13
403	13.433	103.91	134.85	123.7	126.86
404	13.467	103.99	133.75	124.84	126.42
405	13.5	103.75	132.99	124.38	126.55
406	13.533	103.76	133.14	123.95	126.54
407	13.567	103.51	133.93	124.13	126.88
408	13.6	103.35	133.64	124.62	126.98
409	13.633	103.4	133.68	124.61	127.51
410	13.667	103.64	134.95	125.87	127.63
411	13.7	103.58	134.83	125.66	126.56
412	13.733	104.13	135.26	126.01	127.3
413	13.767	104.11	134.66	125.15	126.85
414	13.8	104.16	134.65	125.88	125.92
415	13.833	103.88	135.52	124.45	125.63
416	13.867	104.01	134.54	122.87	126.25
417	13.9	103.78	134.61	122.15	125.81
