Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
249	8.586	177.92	69.36	144.54	114.28
250	8.621	177.34	69.65	142.64	114.75
251	8.655	177.27	69.58	141.55	114.16
252	8.69	177.34	69.32	141.23	113.68
253	8.724	176.38	70.17	133.29	114.55
254	8.759	175.35	71.87	136.91	114.1
255	8.793	174.48	71.9	135.87	113.55
256	8.828	174.15	73.4	135.69	114.93
257	8.862	173.81	73.99	137.09	114.93
258	8.897	174.2	73.35	139.37	115.53
259	8.931	174.73	71.25	138.4	116.21
260	8.966	174.6	71.79	139.05	114.68
261	9.0	174.75	71.65	138.83	113.9
262	9.034	174.93	71.85	139.64	113.61
263	9.069	175.23	71.31	142.23	113.5
264	9.103	175.18	70.96	142.86	113.87
265	9.138	175.03	69.49	148.73	112.94
266	9.172	175.76	69.69	150.48	112.31
267	9.207	175.58	69.21	150.8	111.72
268	9.241	174.97	69.58	148.5	110.53
269	9.276	174.97	70.15	149.33	110.98
270	9.31	174.73	71.46	147.0	112.79
271	9.345	175.08	70.41	146.33	113.36
272	9.379	174.88	69.55	145.28	113.02
273	9.414	175.52	69.9	147.72	113.44
274	9.448	175.27	70.9	147.29	112.93
275	9.483	174.62	70.86	145.66	112.92
276	9.517	174.86	71.56	144.22	110.65
277	9.552	178.18	66.62	138.13	115.3
278	9.586	178.53	64.39	140.74	116.05
279	9.621	179.67	64.5	139.86	115.24
280	9.655	177.25	64.59	143.12	110.68
281	9.69	177.01	63.91	142.08	111.36
282	9.724	176.66	62.95	142.4	112.04
283	9.759	171.84	69.11	140.76	106.96
284	9.793	171.71	68.43	140.46	105.32
285	9.828	172.07	68.02	138.74	105.37
286	9.862	172.04	66.85	136.63	105.07
287	9.897	171.68	67.48	137.1	104.49
288	9.931	171.76	66.01	137.19	104.43
289	9.966	171.32	68.02	139.9	106.99
290	10.0	176.51	63.14	137.49	110.17
291	10.034	179.64	63.92	131.32	115.12
292	10.069	179.09	65.52	131.39	116.01
293	10.103	173.07	72.41	135.12	110.1
294	10.138	173.58	73.71	135.45	111.03
295	10.172	174.56	72.16	136.84	111.74
296	10.207	174.7	73.84	135.98	111.65
297	10.241	174.55	72.48	134.26	111.23
298	10.276	174.7	73.0	133.51	111.55
299	10.31	174.96	73.51	133.59	111.29
300	10.345	175.2	74.34	133.29	111.17
301	10.379	176.78	66.67	133.1	109.98
302	10.414	173.95	73.81	131.12	110.12
303	10.448	173.46	74.11	129.76	109.83
304	10.483	173.22	74.62	129.13	109.91
305	10.517	173.94	74.45	129.51	110.71
306	10.552	174.09	74.19	129.18	112.11
307	10.586	173.38	72.48	128.53	111.14
308	10.621	173.05	68.06	125.31	112.78
309	10.655	174.03	64.42	124.12	114.23
310	10.69	175.86	59.34	123.55	114.95
311	10.724	173.89	53.77	124.29	112.77
312	10.759	173.36	51.43	124.0	111.09
313	10.793	172.77	54.1	122.0	109.38
314	10.828	172.8	54.98	121.94	109.98
315	10.862	173.2	57.44	120.63	110.34
316	10.897	174.28	59.13	121.2	112.12
317	10.931	174.33	62.22	121.24	112.49
318	10.966	174.34	63.77	120.15	113.16
319	11.0	175.43	63.78	119.14	113.66
320	11.034	175.69	63.4	115.35	113.96
321	11.069	176.81	63.53	113.11	114.21
322	11.103	177.73	62.54	112.96	115.01
323	11.138	178.16	63.24	112.43	114.68
324	11.172	177.21	62.68	114.06	113.77
325	11.207	176.97	64.15	118.12	112.6
326	11.241	177.59	64.98	118.97	114.9
327	11.276	177.31	65.44	118.46	114.51
328	11.31	176.88	66.64	117.34	114.97
329	11.345	177.35	66.32	119.83	114.82
330	11.379	177.47	66.32	120.79	115.32
331	11.414	176.63	64.89	120.14	114.83
332	11.448	179.89	62.87	124.18	114.86
333	11.483	176.38	65.49	120.92	114.72
334	11.517	179.66	64.73	127.85	115.21
335	11.552	178.94	65.0	134.98	114.2
336	11.586	177.15	66.99	129.05	115.3
337	11.621	177.85	66.57	130.69	114.47
338	11.655	177.98	67.87	132.69	114.65
339	11.69	177.81	67.16	133.69	114.15
340	11.724	178.2	69.03	131.93	113.97
341	11.759	177.73	69.07	132.83	113.57
342	11.793	177.6	68.89	133.81	113.83
343	11.828	177.63	71.5	134.67	113.2
344	11.862	176.84	70.93	129.92	110.29
345	11.897	176.82	71.79	129.88	107.81
346	11.931	176.58	72.96	132.13	106.24
347	11.966	179.59	76.37	141.95	108.59
348	12.0	179.46	77.34	141.14	110.9
349	12.034	179.39	77.77	137.63	109.95
350	12.069	179.93	77.32	137.03	107.97
351	12.103	177.52	80.53	145.48	106.34
352	12.138	177.39	83.68	151.61	107.48
