Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
457	15.759	171.79	83.61	89.31
458	15.793	170.41	82.77	94.09
459	15.828	170.5	82.45	94.74
460	15.862	165.73	85.86	95.74
461	15.897	166.05	85.9	95.62
462	15.931	166.13	86.52	92.64
463	15.966	169.33	81.81	88.63
464	16.0	169.52	82.13	88.23
465	16.034	166.73	82.35	88.32
466	16.069	167.13	82.54	90.27
467	16.103	170.69	79.1	87.99
468	16.138	170.72	77.74	91.55
469	16.172	170.92	75.7	91.12
470	16.207	170.05	74.73	91.3
471	16.241	169.51	73.53	92.17
472	16.276	168.93	70.97	90.56
473	16.31	169.02	69.25	91.94
474	16.345	167.06	66.3	95.22
475	16.379	166.97	65.58	94.63
476	16.414	167.18	65.03	93.85
477	16.448	166.8	64.15	94.29
478	16.483	167.08	63.89	93.21
479	16.517	167.6	63.53	93.85
480	16.552	168.3	62.88	95.37
481	16.586	167.19	63.45	94.11
482	16.621	166.61	63.4	93.08
483	16.655	166.87	63.3	91.74
484	16.69	167.14	62.58	92.23
485	16.724	167.23	62.34	91.29
486	16.759	167.41	62.61	91.71
487	16.793	166.89	61.67	91.4
488	16.828	166.89	60.8	92.88
489	16.862	166.74	60.9	93.36
490	16.897	166.49	59.65	93.0
491	16.931	167.08	59.88	92.31
492	16.966	166.24	59.57	93.05
493	17.0	166.27	59.74	97.31
494	17.034	166.57	58.92	96.5
495	17.069	166.33	58.88	96.66
496	17.103	166.65	58.78	94.69
497	17.138	166.34	58.66	95.8
498	17.172	166.08	58.42	95.63
499	17.207	166.38	59.2	91.99
500	17.241	165.45	59.71	92.06
501	17.276	165.21	59.21	91.52
502	17.31	165.91	58.88	91.15
503	17.345	165.74	58.92	89.11
504	17.379	165.83	58.76	89.62
505	17.414	165.29	60.0	91.2
506	17.448	165.51	59.77	91.81
507	17.483	164.88	60.0	89.87
508	17.517	164.75	60.17	91.57
509	17.552	164.76	59.57	90.76
510	17.586	164.78	60.52	89.92
511	17.621	165.09	59.28	90.86
512	17.655	164.56	58.98	91.42
513	17.69	165.13	58.93	92.05
514	17.724	165.35	59.04	94.24
515	17.759	165.69	59.46	93.75
516	17.793	165.87	59.13	94.12
517	17.828	165.3	60.62	94.02
518	17.862	165.24	60.32	94.48
519	17.897	165.35	61.26	95.35
520	17.931	165.36	63.09	95.85
521	17.966	166.26	63.37	95.68
522	18.0	166.95	64.38	93.65
523	18.034	166.76	66.79	87.79
524	18.069	167.51	70.25	86.51
525	18.103	168.08	72.32	87.85
526	18.138	168.82	75.22	87.6
527	18.172	168.69	77.99	85.29
528	18.207	169.43	81.44	79.01
529	18.241	170.11	83.44	79.09
530	18.276	166.83	86.46	71.26
531	18.31	169.67	87.91	70.99
532	18.345	169.66	90.11	69.42
533	18.379	169.87	91.12	67.4
534	18.414	169.85	91.87	67.67
535	18.448	169.93	92.33	63.06
536	18.483	170.07	93.12	63.31
537	18.517	166.97	91.68	71.33
538	18.552	166.57	91.82	71.66
539	18.586	166.85	91.3	72.36
540	18.621	166.1	91.33	71.5
541	18.655	165.84	91.34	72.57
542	18.69	166.02	91.7	71.2
