Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
263	9.069	174.93	71.85	139.64	113.61
264	9.103	174.93	71.85	139.64	113.61
265	9.138	175.03	69.49	148.73	112.94
266	9.172	175.03	69.49	148.73	112.94
267	9.207	175.03	69.49	148.73	112.94
268	9.241	174.97	69.58	148.5	110.53
269	9.276	174.97	69.58	148.5	110.53
270	9.31	174.97	69.58	148.5	110.53
271	9.345	175.08	70.41	146.33	113.36
272	9.379	175.08	70.41	146.33	113.36
273	9.414	175.08	70.41	146.33	113.36
274	9.448	175.27	70.9	147.29	112.93
275	9.483	175.27	70.9	147.29	112.93
276	9.517	175.27	70.9	147.29	112.93
277	9.552	178.18	66.62	138.13	115.3
278	9.586	178.18	66.62	138.13	115.3
279	9.621	178.18	66.62	138.13	115.3
280	9.655	177.25	64.59	143.12	110.68
281	9.69	177.25	64.59	143.12	110.68
282	9.724	177.25	64.59	143.12	110.68
283	9.759	171.84	69.11	140.76	106.96
284	9.793	171.84	69.11	140.76	106.96
285	9.828	171.84	69.11	140.76	106.96
286	9.862	172.04	66.85	136.63	105.07
287	9.897	172.04	66.85	136.63	105.07
288	9.931	172.04	66.85	136.63	105.07
289	9.966	171.32	68.02	139.9	106.99
290	10.0	171.32	68.02	139.9	106.99
291	10.034	171.32	68.02	139.9	106.99
292	10.069	179.09	65.52	131.39	116.01
293	10.103	179.09	65.52	131.39	116.01
294	10.138	179.09	65.52	131.39	116.01
295	10.172	174.56	72.16	136.84	111.74
296	10.207	174.56	72.16	136.84	111.74
297	10.241	174.56	72.16	136.84	111.74
298	10.276	174.7	73.0	133.51	111.55
299	10.31	174.7	73.0	133.51	111.55
300	10.345	174.7	73.0	133.51	111.55
301	10.379	176.78	66.67	133.1	109.98
302	10.414	176.78	66.67	133.1	109.98
303	10.448	176.78	66.67	133.1	109.98
304	10.483	173.22	74.62	129.13	109.91
305	10.517	173.22	74.62	129.13	109.91
306	10.552	173.22	74.62	129.13	109.91
307	10.586	173.38	72.48	128.53	111.14
308	10.621	173.38	72.48	128.53	111.14
309	10.655	173.38	72.48	128.53	111.14
310	10.69	175.86	59.34	123.55	114.95
311	10.724	175.86	59.34	123.55	114.95
312	10.759	175.86	59.34	123.55	114.95
313	10.793	172.77	54.1	122.0	109.38
314	10.828	172.77	54.1	122.0	109.38
315	10.862	172.77	54.1	122.0	109.38
316	10.897	174.28	59.13	121.2	112.12
317	10.931	174.28	59.13	121.2	112.12
318	10.966	174.28	59.13	121.2	112.12
319	11.0	175.43	63.78	119.14	113.66
320	11.034	175.43	63.78	119.14	113.66
321	11.069	175.43	63.78	119.14	113.66
322	11.103	177.73	62.54	112.96	115.01
323	11.138	177.73	62.54	112.96	115.01
324	11.172	177.73	62.54	112.96	115.01
325	11.207	176.97	64.15	118.12	112.6
326	11.241	176.97	64.15	118.12	112.6
327	11.276	176.97	64.15	118.12	112.6
328	11.31	176.88	66.64	117.34	114.97
329	11.345	176.88	66.64	117.34	114.97
330	11.379	176.88	66.64	117.34	114.97
331	11.414	176.63	64.89	120.14	114.83
332	11.448	176.63	64.89	120.14	114.83
333	11.483	176.63	64.89	120.14	114.83
334	11.517	179.66	64.73	127.85	115.21
335	11.552	179.66	64.73	127.85	115.21
336	11.586	179.66	64.73	127.85	115.21
337	11.621	177.85	66.57	130.69	114.47
338	11.655	177.85	66.57	130.69	114.47
339	11.69	177.85	66.57	130.69	114.47
340	11.724	178.2	69.03	131.93	113.97
341	11.759	178.2	69.03	131.93	113.97
342	11.793	178.2	69.03	131.93	113.97
343	11.828	177.63	71.5	134.67	113.2
344	11.862	177.63	71.5	134.67	113.2
345	11.897	177.63	71.5	134.67	113.2
346	11.931	176.58	72.96	132.13	106.24
347	11.966	176.58	72.96	132.13	106.24
348	12.0	176.58	72.96	132.13	106.24
349	12.034	179.39	77.77	137.63	109.95
350	12.069	179.39	77.77	137.63	109.95
351	12.103	179.39	77.77	137.63	109.95
352	12.138	177.39	83.68	151.61	107.48
353	12.172	177.39	83.68	151.61	107.48
354	12.207	177.39	83.68	151.61	107.48
355	12.241	175.9	81.66	145.88	107.39
356	12.276	175.9	81.66	145.88	107.39
357	12.31	175.9	81.66	145.88	107.39
358	12.345	176.35	78.02	148.06	108.26
359	12.379	176.35	78.02	148.06	108.26
360	12.414	176.35	78.02	148.06	108.26
361	12.448	177.15	78.04	146.77	109.04
362	12.483	177.15	78.04	146.77	109.04
363	12.517	177.15	78.04	146.77	109.04
364	12.552	176.85	80.72	149.3	108.66
365	12.586	176.85	80.72	149.3	108.66
366	12.621	176.85	80.72	149.3	108.66
367	12.655	177.5	79.66	150.13	108.11
368	12.69	177.5	79.66	150.13	108.11
369	12.724	177.5	79.66	150.13	108.11
370	12.759	177.17	80.76	150.81	107.92
371	12.793	177.17	80.76	150.81	107.92
372	12.828	177.17	80.76	150.81	107.92
373	12.862	175.35	79.8	145.46	108.24
374	12.897	175.35	79.8	145.46	108.24
375	12.931	175.35	79.8	145.46	108.24
376	12.966	175.89	76.35	139.32	108.84
377	13.0	175.89	76.35	139.32	108.84
378	13.034	175.89	76.35	139.32	108.84
379	13.069	175.85	76.16	138.91	109.66
380	13.103	175.85	76.16	138.91	109.66
381	13.138	175.85	76.16	138.91	109.66
382	13.172	175.42	73.77	140.56	109.25
383	13.207	175.42	73.77	140.56	109.25
384	13.241	175.42	73.77	140.56	109.25
385	13.276	175.32	75.35	140.18	107.27
386	13.31	175.32	75.35	140.18	107.27
387	13.345	175.32	75.35	140.18	107.27
388	13.379	179.94	73.1	139.12	110.44
389	13.414	179.94	73.1	139.12	110.44
390	13.448	179.94	73.1	139.12	110.44
391	13.483	178.91	70.39	138.89	109.98
392	13.517	178.91	70.39	138.89	109.98
393	13.552	178.91	70.39	138.89	109.98
394	13.586	178.72	70.52	137.64	121.53
395	13.621	178.72	70.52	137.64	121.53
396	13.655	178.72	70.52	137.64	121.53
397	13.69	174.87	65.64	145.02	106.15
398	13.724	174.87	65.64	145.02	106.15
399	13.759	174.87	65.64	145.02	106.15
400	13.793	175.53	62.42	145.56	108.84
401	13.828	175.53	62.42	145.56	108.84
402	13.862	175.53	62.42	145.56	108.84
403	13.897	175.35	58.93	147.39	107.81
404	13.931	175.35	58.93	147.39	107.81
405	13.966	175.35	58.93	147.39	107.81
406	14.0	179.86	65.78	146.36	110.82
407	14.034	179.86	65.78	146.36	110.82
408	14.069	179.86	65.78	146.36	110.82
409	14.103	176.97	67.14	133.69	121.8
410	14.138	176.97	67.14	133.69	121.8
411	14.172	176.97	67.14	133.69	121.8
412	14.207	179.38	59.62	130.59	117.7
413	14.241	179.38	59.62	130.59	117.7
414	14.276	179.38	59.62	130.59	117.7
415	14.31	175.29	62.16	142.26	102.8
416	14.345	175.29	62.16	142.26	102.8
417	14.379	175.29	62.16	142.26	102.8
418	14.414	177.48	61.57	132.45	122.45
