Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
34	1.133	72.06	50.75	0.0	0.0	71.06	47.56	0.0	0.0	63.65	47.37	55.95	52.82	60.81	62.42	0.0	0.0	66.18	78.35	73.85	63.52	74.69	69.86	33.32	63.37	37.35	74.72	28.38	62.89	28.7	78.46	18.12	58.97	18.39	64.95
35	1.167	71.81	50.88	0.0	0.0	70.93	47.61	0.0	0.0	63.64	47.11	55.46	52.58	60.59	62.15	0.0	0.0	65.68	78.54	73.48	63.31	74.32	70.06	33.09	63.39	37.31	74.72	28.67	63.08	28.99	78.59	18.16	58.98	18.48	65.02
36	1.2	71.79	50.65	0.0	0.0	70.91	47.37	0.0	0.0	63.62	46.89	55.52	52.24	60.51	61.91	0.0	0.0	65.63	78.45	73.57	63.33	74.18	70.06	32.66	62.7	36.79	74.14	27.91	62.72	28.18	78.36	17.8	58.72	18.05	64.72
37	1.233	71.76	50.44	0.0	0.0	70.8	47.22	0.0	0.0	63.4	47.0	55.28	52.08	60.55	62.22	0.0	0.0	65.86	78.39	73.96	63.11	74.64	69.68	31.59	62.83	35.85	74.52	27.02	62.76	27.74	78.72	16.97	58.68	17.1	64.78
38	1.267	71.66	50.32	0.0	0.0	70.76	47.07	0.0	0.0	63.45	46.72	55.16	51.94	60.56	61.75	0.0	0.0	65.53	77.84	73.55	63.12	74.53	69.76	31.73	62.63	36.04	74.14	27.0	62.72	27.81	78.37	17.47	58.34	17.57	64.35
39	1.3	71.71	50.23	0.0	0.0	70.83	46.99	0.0	0.0	63.54	46.71	55.08	51.86	60.54	61.78	0.0	0.0	65.49	77.91	73.44	63.06	74.37	69.72	31.64	62.46	36.01	74.01	27.08	62.41	27.91	78.11	17.54	58.08	17.69	64.07
40	1.333	71.66	50.28	0.0	0.0	70.79	47.04	0.0	0.0	63.51	46.77	55.01	51.94	60.52	61.81	0.0	0.0	65.55	77.98	73.43	63.14	74.43	69.95	31.49	62.56	35.89	74.09	26.97	62.46	27.78	78.12	17.37	58.19	17.48	64.15
41	1.367	71.5	50.51	0.0	0.0	70.67	47.22	0.0	0.0	63.46	46.64	55.06	51.69	60.45	61.42	0.0	0.0	65.47	77.97	73.42	63.12	74.4	69.65	31.83	62.44	36.12	73.91	27.14	62.52	27.79	78.09	17.64	58.36	17.65	64.17
42	1.4	71.23	50.52	0.0	0.0	70.44	47.24	0.0	0.0	63.31	46.57	54.88	51.46	60.33	61.81	0.0	0.0	64.95	77.99	73.31	63.05	73.75	69.66	32.1	62.25	36.47	73.97	27.34	62.29	28.13	78.27	17.6	57.97	17.88	63.93
43	1.433	71.18	50.4	0.0	0.0	70.39	47.07	0.0	0.0	63.29	46.31	55.05	51.3	60.39	61.51	0.0	0.0	65.13	77.86	73.53	63.02	73.89	69.44	32.25	61.91	36.54	73.61	27.22	62.11	28.0	78.06	17.41	57.85	17.74	63.58
44	1.467	71.13	50.3	0.0	0.0	70.37	46.99	0.0	0.0	63.24	46.29	55.04	51.21	60.18	61.54	0.0	0.0	65.3	78.1	73.79	62.86	73.84	69.42	32.01	61.94	36.18	73.71	26.87	62.02	27.36	78.05	16.75	58.41	17.01	63.91
45	1.5	71.08	50.33	0.0	0.0	70.32	47.0	0.0	0.0	63.22	46.25	55.04	51.24	60.21	61.51	0.0	0.0	65.53	78.09	73.81	62.88	74.11	69.19	31.79	61.88	35.93	73.64	26.73	61.89	27.21	77.87	16.85	58.15	16.97	63.52
46	1.533	70.98	50.18	0.0	0.0	70.23	46.82	0.0	0.0	63.19	46.05	55.1	50.96	60.18	61.41	0.0	0.0	65.23	77.97	73.71	62.9	73.75	69.64	31.59	61.68	35.71	73.55	26.41	62.19	26.87	78.35	16.26	58.56	16.4	64.08
47	1.567	70.96	50.11	0.0	0.0	70.18	46.75	0.0	0.0	63.15	45.94	55.24	50.74	60.33	61.37	0.0	0.0	65.39	77.89	73.87	63.05	74.05	69.71	31.89	61.36	36.01	73.34	26.68	62.01	27.18	78.35	16.43	58.28	16.51	63.88
48	1.6	70.96	50.14	0.0	0.0	70.18	46.77	0.0	0.0	63.15	45.91	55.26	50.68	60.37	61.38	0.0	0.0	65.45	77.93	73.83	63.01	74.01	69.51	31.92	61.38	36.04	73.39	26.72	62.03	27.27	78.4	16.51	58.36	16.64	63.88
49	1.633	71.05	50.58	0.0	0.0	70.38	47.22	0.0	0.0	63.32	46.21	54.38	50.38	60.15	61.05	0.0	0.0	65.47	77.88	74.08	62.86	74.45	69.65	29.93	60.89	34.55	72.96	25.62	61.35	26.49	77.74	15.6	58.12	15.74	63.87
50	1.667	70.98	50.42	0.0	0.0	70.24	47.07	0.0	0.0	63.19	46.07	54.69	50.48	60.21	61.07	0.0	0.0	65.42	77.69	74.33	63.0	74.39	69.59	30.74	61.05	35.19	73.06	26.29	61.39	27.01	77.8	15.96	57.82	16.1	63.78
51	1.7	70.8	50.52	0.0	0.0	70.17	47.11	0.0	0.0	63.28	45.92	54.45	50.41	60.09	60.57	0.0	0.0	65.22	77.44	74.3	62.8	74.41	69.57	30.38	60.82	34.91	72.62	25.74	61.44	26.52	77.46	15.86	58.07	15.98	63.69
52	1.733	70.76	50.42	0.0	0.0	70.1	47.02	0.0	0.0	63.24	45.84	54.75	50.37	60.19	60.6	0.0	0.0	65.34	77.29	74.28	62.8	74.43	69.44	30.85	60.8	35.22	72.63	26.12	61.36	26.79	77.48	15.97	57.94	16.13	63.61
53	1.767	70.76	50.27	0.0	0.0	70.08	46.85	0.0	0.0	63.17	45.69	54.8	50.31	60.2	60.65	0.0	0.0	65.49	77.39	74.69	62.8	74.75	69.0	30.91	61.02	35.23	72.92	26.11	61.61	26.82	77.82	15.86	57.97	16.01	63.53
54	1.8	70.72	50.29	0.0	0.0	70.09	46.82	0.0	0.0	63.15	45.56	54.49	50.26	59.97	60.59	0.0	0.0	65.05	77.5	74.56	62.67	74.32	69.21	30.4	60.99	34.79	72.91	25.7	61.7	26.43	77.91	15.4	58.16	15.59	63.75
55	1.833	70.62	50.37	0.0	0.0	70.0	46.9	0.0	0.0	63.21	45.58	54.66	50.18	60.17	60.59	0.0	0.0	65.05	77.44	74.33	62.91	74.31	69.62	30.38	61.08	34.78	73.03	25.98	61.94	26.85	78.2	15.55	58.51	15.78	64.19
56	1.867	70.5	50.31	0.0	0.0	69.88	46.88	0.0	0.0	63.09	45.58	54.45	50.1	60.1	60.65	0.0	0.0	65.0	77.39	73.93	62.86	73.99	69.5	30.41	60.95	34.95	72.92	25.88	61.76	26.76	78.09	15.41	58.18	15.75	63.97
57	1.9	70.47	50.27	0.0	0.0	69.85	46.85	0.0	0.0	63.11	45.57	54.59	50.14	60.08	60.54	0.0	0.0	65.03	77.37	73.94	62.89	74.17	69.55	30.58	61.2	34.98	73.1	25.84	61.96	26.62	78.18	15.56	58.24	15.83	64.02
58	1.933	70.49	50.42	0.0	0.0	69.95	46.96	0.0	0.0	63.3	45.53	54.5	50.18	60.11	60.48	0.0	0.0	65.06	77.47	73.7	62.73	74.06	69.08	30.39	61.42	34.88	73.27	26.0	61.88	26.73	78.03	15.71	58.23	15.99	63.89
59	1.967	70.52	50.47	0.0	0.0	69.97	47.03	0.0	0.0	63.31	45.63	54.65	50.47	60.09	60.43	0.0	0.0	65.13	77.15	74.08	62.82	74.43	69.05	30.74	61.41	35.1	73.09	26.11	61.89	26.7	77.8	16.05	58.3	16.28	63.89
60	2.0	70.56	50.79	0.0	0.0	70.04	47.34	0.0	0.0	63.35	45.79	54.55	50.32	60.06	60.55	0.0	0.0	65.01	77.44	73.98	62.75	74.07	69.16	30.54	61.44	34.99	73.24	25.93	61.87	26.56	77.9	15.84	58.45	16.03	63.91
61	2.033	70.61	50.49	0.0	0.0	69.96	47.16	0.0	0.0	63.12	46.09	54.41	50.65	59.89	60.78	0.0	0.0	64.88	77.6	73.42	63.02	74.04	69.77	30.71	61.45	35.18	73.16	26.24	61.84	26.69	77.86	15.63	58.38	15.54	64.33
62	2.067	70.56	50.71	0.0	0.0	69.98	47.37	0.0	0.0	63.17	46.18	54.15	50.59	59.82	60.89	0.0	0.0	64.68	77.72	73.24	62.89	73.56	69.53	30.64	61.05	35.27	72.82	26.17	61.38	26.72	77.46	15.86	57.92	15.97	63.83
