Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
283	9.433	82.58	85.15	97.39
284	9.467	82.97	86.47	96.72
285	9.5	83.07	86.17	97.46
286	9.533	82.68	85.02	97.56
287	9.567	81.81	86.92	95.15
288	9.6	82.14	89.32	95.94
289	9.633	83.06	89.34	94.29
290	9.667	87.08	91.38	95.86
291	9.7	83.37	88.72	92.79
292	9.733	82.3	86.44	94.09
293	9.767	81.61	89.48	94.25
294	9.8	81.62	88.73	95.94
295	9.833	86.91	97.21	96.24
296	9.867	81.71	87.95	93.61
297	9.9	86.75	96.35	96.21
298	9.933	86.78	99.19	96.28
299	9.967	82.19	87.55	96.16
300	10.0	81.83	88.9	97.63
301	10.033	81.56	90.55	98.26
302	10.067	81.92	90.03	100.36
303	10.1	81.56	87.06	103.73
304	10.133	80.31	88.42	104.47
305	10.167	80.93	91.28	106.06
306	10.2	79.93	92.72	105.87
307	10.233	79.85	92.8	106.44
308	10.267	80.66	94.77	107.41
309	10.3	80.61	96.03	107.59
310	10.333	80.81	100.22	109.3
311	10.367	80.49	102.74	108.8
312	10.4	81.11	101.71	110.55
313	10.433	81.76	105.39	110.56
314	10.467	83.41	105.64	111.25
315	10.5	82.97	106.7	110.61
316	10.533	83.35	108.84	112.0
317	10.567	78.84	108.06	104.44
318	10.6	77.96	111.27	104.67
319	10.633	78.3	110.19	104.37
320	10.667	78.79	109.03	103.6
321	10.7	79.64	110.86	105.17
322	10.733	80.41	110.07	106.58
323	10.767	84.6	111.1	111.94
324	10.8	84.77	115.6	110.04
325	10.833	85.63	121.05	111.19
326	10.867	86.18	132.29	108.54
327	10.9	86.94	139.56	107.27
328	10.933	85.5	138.05	104.11
329	10.967	85.57	137.43	100.73
330	11.0	85.59	129.23	102.61
331	11.033	84.68	128.65	102.18
332	11.067	83.28	130.94	101.91
333	11.1	81.94	130.14	102.05
334	11.133	82.49	128.32	103.34
335	11.167	82.19	127.49	103.02
336	11.2	81.75	126.81	104.34
337	11.233	81.45	126.05	103.22
338	11.267	81.6	125.97	103.68
339	11.3	82.03	126.55	102.09
340	11.333	81.02	123.75	103.25
341	11.367	80.32	123.05	104.02
342	11.4	80.54	120.83	102.66
343	11.433	81.11	120.56	102.97
344	11.467	80.37	117.38	103.15
345	11.5	79.68	117.75	102.1
346	11.533	79.17	115.5	101.77
347	11.567	79.08	114.2	101.57
348	11.6	78.92	113.67	101.7
349	11.633	78.4	104.58	101.68
350	11.667	80.17	110.06	97.64
351	11.7	79.67	105.0	96.64
352	11.733	77.86	89.7	101.11
353	11.767	77.72	87.31	101.43
354	11.8	77.55	83.64	101.6
355	11.833	77.48	81.05	99.95
356	11.867	78.34	81.42	100.96
357	11.9	78.82	80.81	101.25
358	11.933	78.52	79.11	100.29
359	11.967	77.47	74.29	98.91
360	12.0	76.96	71.6	99.8
361	12.033	77.88	72.93	99.61
362	12.067	77.88	73.09	99.85
363	12.1	77.08	71.74	100.5
364	12.133	78.16	71.63	101.86
365	12.167	77.46	73.73	101.57
366	12.2	79.26	76.05	104.0
367	12.233	79.39	76.4	104.09
368	12.267	79.36	77.17	103.53
369	12.3	79.92	77.47	104.9
370	12.333	80.55	79.05	104.05
371	12.367	80.34	83.74	105.6
372	12.4	80.94	88.48	108.1
373	12.433	81.24	88.86	108.21
374	12.467	82.18	91.25	108.73
375	12.5	82.73	94.81	109.45
376	12.533	82.85	96.4	108.35
377	12.567	84.27	97.6	108.08
378	12.6	80.21	92.98	103.57
379	12.633	80.41	91.99	102.42
380	12.667	81.05	99.39	101.78
381	12.7	83.09	99.97	107.96
382	12.733	84.09	112.64	105.49
383	12.767	84.73	108.66	107.55
384	12.8	83.66	112.22	107.04
385	12.833	85.27	110.98	108.04
386	12.867	85.6	112.44	108.73
387	12.9	85.54	108.23	110.37
388	12.933	85.84	106.43	109.63
389	12.967	85.73	103.99	108.92
390	13.0	83.38	105.26	103.57
391	13.033	82.43	98.5	103.33
392	13.067	85.42	101.21	107.43
393	13.1	85.59	105.09	106.0
394	13.133	84.91	104.75	105.82
395	13.167	85.48	105.63	106.56
396	13.2	84.52	103.95	106.28
397	13.233	82.12	118.99	102.66
398	13.267	86.43	122.25	106.72
399	13.3	87.27	124.32	105.2
400	13.333	86.01	123.95	104.1
