Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
238	7.933	35.81	51.23	58.74
239	7.967	39.06	50.56	59.32
240	8.0	44.1	46.97	81.5
241	8.033	48.48	41.99	83.4
242	8.067	47.99	45.22	79.61
243	8.1	47.92	48.83	78.22
244	8.133	48.0	48.74	77.99
245	8.167	56.49	72.22	73.96
246	8.2	50.11	69.03	75.57
247	8.233	46.9	56.16	79.98
248	8.267	47.89	51.51	78.74
249	8.3	47.9	57.82	74.69
250	8.333	47.12	58.12	76.24
251	8.367	46.96	59.87	73.54
252	8.4	47.87	51.99	74.15
253	8.433	47.09	51.23	69.28
254	8.467	52.07	51.3	70.66
255	8.5	49.55	53.82	70.8
256	8.533	45.65	55.57	67.45
257	8.567	45.26	55.47	63.22
258	8.6	41.74	40.13	64.35
259	8.633	44.53	29.51	70.99
260	8.667	47.17	26.63	76.52
261	8.7	48.6	26.2	74.5
262	8.733	48.24	34.67	77.01
263	8.767	46.79	43.74	73.79
264	8.8	53.21	48.12	73.35
265	8.833	52.34	33.92	71.9
266	8.867	52.61	44.22	66.16
267	8.9	58.74	57.84	67.38
268	8.933	57.29	44.91	72.05
269	8.967	61.85	54.73	84.45
270	9.0	54.16	55.28	72.78
271	9.033	55.48	61.62	74.13
272	9.067	59.9	66.53	80.63
273	9.1	35.03	157.85	101.56
274	9.133	41.64	69.49	95.26
275	9.167	46.13	58.43	81.97
276	9.2	41.49	61.11	80.71
277	9.233	54.76	60.91	78.8
278	9.267	55.79	83.97	86.74
279	9.3	57.49	58.93	81.96
280	9.333	48.3	60.47	86.96
281	9.367	54.71	60.89	84.9
282	9.4	57.64	64.58	87.61
283	9.433	61.74	66.18	90.63
284	9.467	55.87	59.43	84.35
285	9.5	51.87	53.9	69.46
286	9.533	49.28	51.54	68.49
287	9.567	46.23	51.92	64.94
288	9.6	68.83	57.22	84.58
289	9.633	79.32	22.69	81.49
290	9.667	80.41	28.67	74.67
291	9.7	83.89	60.03	75.09
292	9.733	85.94	57.76	74.35
293	9.767	68.29	61.78	79.26
294	9.8	70.9	17.66	76.6
295	9.833	79.57	14.71	72.62
296	9.867	86.71	28.31	69.58
297	9.9	75.11	31.66	71.38
298	9.933	50.4	8.38	81.96
299	9.967	42.93	2.62	83.39
300	10.0	64.67	1.48	78.07
301	10.033	41.35	47.65	92.22
